candles

open;close;high;low;value;volume;begin;end
12.08;12.08;12.08;12.08;604;50;2025-09-17 12:46:00;2025-09-17 12:46:59
12.07;12.07;12.07;12.07;6638.5;550;2025-09-17 12:47:00;2025-09-17 12:47:59
12.07;12.06;12.07;12.06;120.65;10;2025-09-17 12:50:00;2025-09-17 12:50:59
12.07;12.07;12.07;12.07;1400.12;116;2025-09-17 12:54:00;2025-09-17 12:54:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 12:55:00;2025-09-17 12:55:59
12.07;12.05;12.07;12.05;2844.9300000000003;236;2025-09-17 12:59:00;2025-09-17 12:59:59
12.05;12.07;12.07;12.04;6155.0199999999995;511;2025-09-17 13:02:00;2025-09-17 13:02:59
12.07;12.07;12.07;12.07;108.63;9;2025-09-17 13:06:00;2025-09-17 13:06:59
12.07;12.07;12.07;12.07;96.56;8;2025-09-17 13:07:00;2025-09-17 13:07:59
12.05;12.06;12.06;12.05;1289.39;107;2025-09-17 13:08:00;2025-09-17 13:08:59
12.05;12.05;12.05;12.05;180.75;15;2025-09-17 13:11:00;2025-09-17 13:11:59
12.06;12.06;12.06;12.06;84.42;7;2025-09-17 13:12:00;2025-09-17 13:12:59
12.05;12.06;12.06;12.05;1326.5;110;2025-09-17 13:15:00;2025-09-17 13:15:59
12.05;12.05;12.05;12.04;4822087.130000002;400505;2025-09-17 13:16:00;2025-09-17 13:16:59
12.03;12.05;12.05;12.01;12010068.02;1000003;2025-09-17 13:17:00;2025-09-17 13:17:59
12.02;12.08;12.08;12.01;8960477.59;746014;2025-09-17 13:18:00;2025-09-17 13:18:59
12.03;12.07;12.07;12.03;16072.6;1336;2025-09-17 13:19:00;2025-09-17 13:19:59
12.04;12.07;12.07;12.04;1300.35;108;2025-09-17 13:20:00;2025-09-17 13:20:59
12.04;12.07;12.07;12.04;3601.1900000000014;299;2025-09-17 13:24:00;2025-09-17 13:24:59
12.07;12.07;12.07;12.04;1686.26;140;2025-09-17 13:25:00;2025-09-17 13:25:59
12.07;12.07;12.07;12.07;531.08;44;2025-09-17 13:28:00;2025-09-17 13:28:59
12.07;12.07;12.07;12.07;24.14;2;2025-09-17 13:29:00;2025-09-17 13:29:59
12.07;12.07;12.07;12.07;1062.16;88;2025-09-17 13:30:00;2025-09-17 13:30:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 13:31:00;2025-09-17 13:31:59
12.04;12.04;12.04;12.04;96.32;8;2025-09-17 13:32:00;2025-09-17 13:32:59
12.07;12.07;12.07;12.07;12070;1000;2025-09-17 13:35:00;2025-09-17 13:35:59
12.07;12.07;12.07;12.07;989.74;82;2025-09-17 13:37:00;2025-09-17 13:37:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 13:38:00;2025-09-17 13:38:59
12.07;12.07;12.07;12.07;12.07;1;2025-09-17 13:40:00;2025-09-17 13:40:59
12.05;12.05;12.05;12.05;60.25;5;2025-09-17 13:43:00;2025-09-17 13:43:59
12.07;12.07;12.07;12.07;84.49000000000001;7;2025-09-17 13:45:00;2025-09-17 13:45:59
12.07;12.07;12.07;12.07;108.63;9;2025-09-17 13:47:00;2025-09-17 13:47:59
12.05;12.05;12.05;12.05;2928.15;243;2025-09-17 13:49:00;2025-09-17 13:49:59
12.07;12.05;12.1;12.05;374955.94;31002;2025-09-17 13:52:00;2025-09-17 13:52:59
12.08;12.1;12.1;12.08;42315.61;3500;2025-09-17 13:53:00;2025-09-17 13:53:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 13:54:00;2025-09-17 13:54:59
12.09;12.09;12.09;12.06;844.62;70;2025-09-17 13:55:00;2025-09-17 13:55:59
12.06;12.06;12.06;12.06;7851.06;651;2025-09-17 13:56:00;2025-09-17 13:56:59
12.09;12.09;12.09;12.09;12609.87;1043;2025-09-17 13:57:00;2025-09-17 13:57:59
12.09;12.09;12.09;12.09;24.18;2;2025-09-17 13:59:00;2025-09-17 13:59:59
12.09;12.09;12.09;12.09;544.05;45;2025-09-17 14:01:00;2025-09-17 14:01:59
12.09;12.09;12.09;12.09;1196.9099999999999;99;2025-09-17 14:02:00;2025-09-17 14:02:59
12.09;12.09;12.1;12.09;193.48000000000002;16;2025-09-17 14:03:00;2025-09-17 14:03:59
12.09;12.09;12.09;12.09;60.45;5;2025-09-17 14:04:00;2025-09-17 14:04:59
12.08;12.08;12.08;12.08;169.12;14;2025-09-17 14:08:00;2025-09-17 14:08:59
12.08;12.08;12.08;12.08;157.04000000000002;13;2025-09-17 14:09:00;2025-09-17 14:09:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 14:10:00;2025-09-17 14:10:59
12.08;12.08;12.08;12.06;36.22;3;2025-09-17 14:13:00;2025-09-17 14:13:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 14:16:00;2025-09-17 14:16:59
12.08;12.08;12.08;12.08;60.4;5;2025-09-17 14:17:00;2025-09-17 14:17:59
12.06;12.06;12.06;12.06;12.06;1;2025-09-17 14:18:00;2025-09-17 14:18:59
12.08;12.08;12.08;12.08;1763.6799999999998;146;2025-09-17 14:19:00;2025-09-17 14:19:59
12.08;12.08;12.08;12.08;205.36;17;2025-09-17 14:22:00;2025-09-17 14:22:59
12.06;12.06;12.06;12.06;446.22;37;2025-09-17 14:25:00;2025-09-17 14:25:59
12.06;12.06;12.06;12.06;3593.88;298;2025-09-17 14:26:00;2025-09-17 14:26:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 14:29:00;2025-09-17 14:29:59
12.08;12.08;12.08;12.08;24.16;2;2025-09-17 14:30:00;2025-09-17 14:30:59
12.06;12.06;12.06;12.06;156.78;13;2025-09-17 14:33:00;2025-09-17 14:33:59
12.08;12.08;12.08;12.08;72.48;6;2025-09-17 14:35:00;2025-09-17 14:35:59
12.08;12.08;12.08;12.08;446.96;37;2025-09-17 14:36:00;2025-09-17 14:36:59
12.08;12.08;12.08;12.08;12.08;1;2025-09-17 14:37:00;2025-09-17 14:37:59
12.08;12.06;12.08;12.06;84.54;7;2025-09-17 14:39:00;2025-09-17 14:39:59
12.06;12.06;12.06;12.06;253.26;21;2025-09-17 14:40:00;2025-09-17 14:40:59
12.08;12.08;12.08;12.08;157.04;13;2025-09-17 14:42:00;2025-09-17 14:42:59
12.08;12.08;12.08;12.08;169.12;14;2025-09-17 14:44:00;2025-09-17 14:44:59
12.08;12.09;12.09;12.08;543.61;45;2025-09-17 14:46:00;2025-09-17 14:46:59
12.09;12.09;12.09;12.09;1076.01;89;2025-09-17 14:47:00;2025-09-17 14:47:59
12.09;12.09;12.09;12.09;652.86;54;2025-09-17 14:48:00;2025-09-17 14:48:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 14:50:00;2025-09-17 14:50:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 14:53:00;2025-09-17 14:53:59
12.09;12.09;12.09;12.09;12.09;1;2025-09-17 14:54:00;2025-09-17 14:54:59
12.08;12.08;12.08;12.08;169.12;14;2025-09-17 14:55:00;2025-09-17 14:55:59
